"","SPEC","model","t_value"
"1","AMRO","decision",1.093
"2","AUWA","decision",-1.897
"3","BCCH","decision",1.234
"4","BEWR","decision",-0.952
"5","CARW","decision",-1.37
"6","COYE","decision",-0.497
"7","DOWO","decision",1.779
"8","GRCA","decision",-1.378
"9","HOWR","decision",-0.636
"10","LISP","decision",0.702
"11","MGWA","decision",-0.538
"12","NOCA","decision",0.507
"13","ORJU","decision",-0.973
"14","OVEN","decision",0.147
"15","SOSP","decision",-0.644
"16","SWTH","decision",-0.073
"17","TUTI","decision",-1.978
"18","WIWA","decision",2.099
"19","WOTH","decision",0.323
"20","YEWA","decision",-0.241
"21","AMRO","long-term",1.587
"22","AUWA","long-term",-1.704
"23","BCCH","long-term",1.213
"24","BEWR","long-term",-0.829
"25","CARW","long-term",-1.538
"26","COYE","long-term",-0.186
"27","DOWO","long-term",1.89
"28","GRCA","long-term",-1.058
"29","HOWR","long-term",0.139
"30","LISP","long-term",1.302
"31","MGWA","long-term",-0.071
"32","NOCA","long-term",0.495
"33","ORJU","long-term",-0.69
"34","OVEN","long-term",0.012
"35","SOSP","long-term",-0.546
"36","SWTH","long-term",0.136
"37","TUTI","long-term",-1.677
"38","WIWA","long-term",1.303
"39","WOTH","long-term",0.022
"40","YEWA","long-term",0.196
