SP,SPEC,CONF,COMMONNAME,SCINAME,SPEC6,CONF6
,ABDU,,American Black Duck,Anas rubripes,ANARUB,
,ABFL,,Asian Brown Flycatcher,Muscicapa dauurica,MUSDAU,
,ABTO,,Abert's Towhee,Melozone aberti,MELABE,
+,ACCA,,Audubon's Crested Caracara,Caracara plancus audubonii,CARPLU,*
,ACFL,,Acadian Flycatcher,Empidonax virescens,EMPVIR,
+,ACGO,,Aleutian Cackling Goose,Branta hutchinsii leucopareia,BRAHLE,
+,ACHH,,Anna's x Costa's Hummingbird Hybrid,Calypte anna x costae,CALANC,
,ACWO,,Acorn Woodpecker,Melanerpes formicivorus,MELFOR,
,ADWA,,Adelaide's Warbler,Setophaga adelaidae,SETADE,
,AFCD,,African Collared-Dove,Streptopelia roseogrisea,STRROS,
,AFOW,,Ashy-faced Owl,Tyto glaucops,TYTGLA,
,AFSI,,African Silverbill,Euodice cantans,EUOCAN,
,AGHE,,Agami Heron,Agamia agami,AGAAGA,
,AGOS,*,American Goshawk,Accipiter atricapillus,ACCATR,
+,AGWT,,American Green-winged Teal,Anas crecca carolinensis,ANACCA,
,AHJA,,Azure-hooded Jay,Cyanolyca cucullata,CYACUC,
,AISP,,Ainley's Storm-Petrel,Hydrobates cheimomnestes,HYDCHE,
,AKEK,,Akekee,Loxops caeruleirostris,LOXCAE,
,AKIA,,Akiapolaau,Hemignathus wilsoni,HEMWIL,
,AKIK,,Akikiki,Oreomystis bairdi,OREBAI,
+,AKLW,,Arctic/Kamchatka Leaf Warbler,Phylloscopus borealis/examinandus,PHYBOE,
,AKOH,,Akohekohe,Palmeria dolei,PALDOL,
,ALFL,,Alder Flycatcher,Empidonax alnorum,EMPALN,
,ALHU,,Allen's Hummingbird,Selasphorus sasin,SELSAS,
,ALOR,,Altamira Oriole,Icterus gularis,ICTGUL,
,ALSW,,Alpine Swift,Apus melba,APUMEL,
,ALTE,,Aleutian Tern,Onychoprion aleuticus,ONYALE,
,ALYE,,Altamira Yellowthroat,Geothlypis flavovelata,GEOFLA,
