"STASLIST","LOC","STA","STA2","STATION","NAME","LHOLD","HOLDCERT","NEARTOWN","COUNTY","STATE","REGION","LATITUDE","LONGITUDE","PRECISION","SOURCE","DATUM","DECLAT","DECLNG","NAD83","ELEV","STRATUM","BCR","HABITAT","D89","D90","D91","D92","D93","D94","D95","D96","D97","D98","D99","D00","D01","D02","D03","D04","D05","D06","Y07","D07","Y08","D08","Y09","D09","Y10","D10","Y11","D11","Y12","D12","Y13","D13","Y14","D14","Y15","D15","Y16","D16","Y17","D17","Y18","D18","HISTORY","YRSOP"
"11101 - SISK - HCME - Horse Creek Meadows","SISK",11101,"11101U","HCME","Horse Creek Meadows","AF","+","Wilderville","Josephine","OR","1","42 27 03","-123 40 09","01S","-","NAD27",42.45083,-123.67028,"x",664,93,5,"montane meadow","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,"89-10",22
"11106 - ARCA - HOME - Home","ARCA",11106,"11106S","HOME","Home","P","+","Arcata","Humboldt","CA","1","40 53 26","-124 08 27","01S","GPS","NAD27",40.89028,-124.14194,"x",10,93,5,"riparian woodland/beach pine",,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,"X",,"X",,"X",,"X",,"X",,"X",,"X",,"X",,"X",,"90-",33
"11107 - YOSE - HODG - Hodgdon Meadow","YOSE",11107,"11107U","HODG","Hodgdon Meadow","IP","+","El Portal","Tuolumne","CA","1","37 47 38","-119 51 48","01S","GPS -GARMIN III","NAD83",37.79389,-119.86333,"x",1408,66,15,"montane meadow",,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","90-19,21-",32
"11109 - SEKI - LIME - Lion Meadow","SEKI",11109,"11109U","LIME","Lion Meadow","IP","+","Pinehurst","Fresno/Tulare","CA","1","36 44 43","-118 58 52","01S","Web - Google E.","NAD83",36.74528,-118.98111,"x",1853,66,32,"conif. for./mont. mdw./chap.",,,"X","X","X",,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,"91-93,01-10",13
"11110 - SEKI - ZUME - Zumwalt Meadow","SEKI",11110,"11110U","ZUME","Zumwalt Meadow","IP","+","Hume","Fresno","CA","1","36 47 30","-118 35 47","01S","Web - Google E.","NAD83",36.79167,-118.59639,"x",1280,66,15,"rip./oak wdlnd./conif. for.",,,"X","X","X",,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,"91-93,01-10",13
"11111 - TAHO - YUBA - Yuba Pass","TAHO",11111,"11111U","YUBA","Yuba Pass","AF","+","Sattley","Sierra","CA","1","39 37 00","-120 26 30","10S","-","-",39.61667,-120.44167,"-",2040,66,15,"mixed coniferous forest along river",,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,"91-04",14
"11112 - TAHO - SNFC - Sierra Nevada","TAHO",11112,"11112U","SNFC","Sierra Nevada","AF","+","Sierra City","Sierra","CA","1","39 37 20","-120 31 30","10S","-","-",39.62222,-120.525,"-",1780,66,15,"mixed coniferous forest along river",,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,"91-04",14
"11113 - BIGB - WHBA - Whites Bar","BIGB",11113,"11113U","WHBA","Whites Bar","AF","+","Big Bar","Trinity","CA","1","40 40 29","-123 17 02","01S","hard copy topo","NAD27",40.67472,-123.285,"x",110,93,5,"Alder-willow riparian corridor",,,"X","X","X","X","X","X","X","X",,,,"X","X","X","X",,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,"91-98,02-05,07-17",23
"11114 - TSS- - TSS- - Teton Science School","TSS-",11114,"11114U","TSS-","Teton Science School","IP","+","Kelly","Teton","WY","1","43 40 20","-110 35 52","01S","ARC Map photo","NAD83",43.67222,-110.59778,"x",2100,64,10,"riparian corridor",,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","91-",32
"11115 - SISK - BCBA - Bear Camp","SISK",11115,"11115U","BCBA","Bear Camp","AF","+","Agness","Curry","OR","1","42 36 51","-123 51 04","01S","-","NAD27",42.61417,-123.85222,"x",1341,93,5,"wet meadow",,,"X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,"91-03",13
"11116 - SISK - GBCR - Grayback Creek","SISK",11116,"11116U","GBCR","Grayback Creek","AF","+","Williams","Josephine","OR","1","42 09 00","-123 25 22","01S","-","NAD27",42.14972,-123.42389,"x",634,93,5,"mixed brush",,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,"91-05",15
"11126 - ARCA - PARK - Park","ARCA",11126,"11106S","PARK","Park","P","+","Arcata","Humboldt","CA","1","40 53 42","-124 08 30","01S","GPS","NAD27",40.89472,-124.14278,"x",3,93,5,"beach pine/riparian woodland",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,"X",,"X",,"X",,"X",,"X",,"X",,,,,,,,"92-15",24
"11127 - KETC - WACR - Ward Creek","KETC",11127,"11127U","WACR","Ward Creek","AF","+","Ketchikan","Ketchikan Gateway","AK","1","55 25 00","-131 42 00","01M","-","-",55.41667,-131.7,"-",6,94,5,"riparian spruce/hemlock",,,,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92",1
"11128 - LORI - LORI - Long Ridge","LORI",11128,"11128U","LORI","Long Ridge","AF","+","Harbor","Curry","OR","1","42 13 40","-124 05 50","10S","-","-",42.22778,-124.09722,"-",518,93,5,"mixed forest",,,,"X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92-01",10
"11129 - GRFA - BWMA - Beartooth","GRFA",11129,"11129U","BWMA","Beartooth","S","+","Holter Dam","Lewis and Clark","MT","1","46 56 01","-111 54 55","01S","-","NAD83",46.93361,-111.91528,"x",1158,65,10,"riparian woodland",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","92-",31
"11130 - TAHO - FREE - Freeman Meadow","TAHO",11130,"11130U","FREE","Freeman Meadow","AF","+","Clio","Sierra","CA","1","39 40 00","-120 36 00","01M","-","-",39.66667,-120.6,"-",2042,66,15,"riparian willow",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,"92-04",13
"11131 - TAHO - CAVA - Carman Valley","TAHO",11131,"11131U","CAVA","Carman Valley","AF","+","Calpine","Sierra","CA","1","39 42 00","-120 27 00","01M","-","-",39.7,-120.45,"-",1494,66,15,"pine/fir forest",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","L","L",,,"X","X","X","X","X","X",,,,,,,,,,,,,,,,,"92-06,08-10",18
"11132 - TAHO - PZAZ - Perazzo Meadow","TAHO",11132,"11132U","PZAZ","Perazzo Meadow","AF","+","Sierraville","Sierra","CA","1","39 28 30","-120 23 09","01S","GPS","NAD83",39.475,-120.38583,"x",2012,66,15,"riparian willow",,,,"X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,"X",,"92-04,08-",28
"11133 - FLAT - CEFO - Coram Forest","FLAT",11133,"11133U","CEFO","Coram Forest","AF","+","Martin City","Flathead","MT","1","48 22 33","-113 58 35","01S","Paper map","NAD27",48.3725,-113.97639,"-",1244,64,10,"undisturbed mixed forest",,,,"X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,"92-03",12
"11134 - FLAT - HIME - Hillary Meadow","FLAT",11134,"11134U","HIME","Hillary Meadow","AF","+","Martin City","Flathead","MT","1","48 20 48","-113 58 32","01S","Paper map","NAD27",48.34667,-113.97556,"-",1109,64,10,"wet meadow",,,,"X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,"92-03",12
"11135 - FLAT - SIMO - Sixmile Mountain","FLAT",11135,"11135U","SIMO","Sixmile Mountain","AF","+","Swan Lake","Lake","MT","1","47 56 46","-113 52 05","01S","Paper map","NAD27",47.94611,-113.86806,"-",1067,64,10,"mixed forest",,,,"X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,"92-03",12
"11136 - FLAT - SWOX - Swan Oxbow 2","FLAT",11136,"11136U","SWOX","Swan Oxbow 2","AF","+","Swan Lake","Lake","MT","1","47 52 49","-113 50 56","01S","Paper map","NAD27",47.88028,-113.84889,"-",939,64,10,"dry meadow",,,,"X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,"92-03",12
"11137 - FLAT - SRNA - Swan River Natural Area","FLAT",11137,"11137U","SRNA","Swan River Natural Area","AF","+","Swan Lake","Lake","MT","1","47 51 00","-113 51 31","01S","Paper map","NAD27",47.85,-113.85861,"-",943,64,10,"wet meadow",,,,"X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,"92-03",12
