LOC,STA,STATION,DATE,IP,SP,NET,ANET,LENGTH,START,END,MAN,MA,MB,N,E,YEAR,SHIFT,DELAY
TSS-,11114,TSS-,6/6/18,4,A,1,1,1,55,120,,,,,,2018,0,0
TSS-,11114,TSS-,6/6/18,4,A,2,2,1,102,120,,,,,,2018,0,0
TSS-,11114,TSS-,6/6/18,4,A,3,3,1,55,120,,,,,,2018,0,0
TSS-,11114,TSS-,6/6/18,4,A,4,4,1,55,120,,,,,,2018,0,0
TSS-,11114,TSS-,6/6/18,4,A,6,6,1,60,120,,,,,,2018,0,0
TSS-,11114,TSS-,6/6/18,4,A,7,7,1,60,120,,,,,,2018,0,0
TSS-,11114,TSS-,6/6/18,4,A,8,8,1,60,120,,,,,,2018,0,0
TSS-,11114,TSS-,6/6/18,4,A,9,9,1,60,120,,,,,,2018,0,0
TSS-,11114,TSS-,6/6/18,4,A,10,10,1,60,120,,,,,,2018,0,0
TSS-,11114,TSS-,6/6/18,4,A,11,11,1,60,120,,,,,,2018,0,0
TSS-,11114,TSS-,6/13/18,5,A,1,1,1,55,115,,,,,,2018,0,0
TSS-,11114,TSS-,6/13/18,5,A,2,2,1,55,63,B,A,B,,,2018,0,0
TSS-,11114,TSS-,6/13/18,5,A,2,2,1,72,115,B,A,B,,,2018,0,0
TSS-,11114,TSS-,6/13/18,5,A,3,3,1,55,115,,,,,,2018,0,0
TSS-,11114,TSS-,6/13/18,5,A,4,4,1,55,115,,,,,,2018,0,0
TSS-,11114,TSS-,6/13/18,5,A,6,6,1,55,115,,,,,,2018,0,0
TSS-,11114,TSS-,6/13/18,5,A,7,7,1,55,115,,,,,,2018,0,0
TSS-,11114,TSS-,6/13/18,5,A,8,8,1,55,115,,,,,,2018,0,0
TSS-,11114,TSS-,6/13/18,5,A,9,9,1,55,115,,,,,,2018,0,0
TSS-,11114,TSS-,6/13/18,5,A,10,10,1,55,115,,,,,,2018,0,0
TSS-,11114,TSS-,6/13/18,5,A,11,11,1,55,115,,,,,,2018,0,0
TSS-,11114,TSS-,6/20/18,6,A,1,1,1,55,120,,,,,,2018,0,0
TSS-,11114,TSS-,6/20/18,6,A,2,2,1,55,120,,,,,,2018,0,0
TSS-,11114,TSS-,6/20/18,6,A,3,3,1,55,120,,,,,,2018,0,0
TSS-,11114,TSS-,6/20/18,6,A,4,4,1,61,120,,,,,,2018,0,0
TSS-,11114,TSS-,6/20/18,6,A,6,6,1,55,120,,,,,,2018,0,0
TSS-,11114,TSS-,6/20/18,6,A,7,7,1,55,120,,,,,,2018,0,0
TSS-,11114,TSS-,6/20/18,6,A,8,8,1,55,120,,,,,,2018,0,0
TSS-,11114,TSS-,6/20/18,6,A,9,9,1,55,120,,,,,,2018,0,0
TSS-,11114,TSS-,6/20/18,6,A,10,10,1,62,120,,,,,,2018,0,0
TSS-,11114,TSS-,6/20/18,6,A,11,11,1,55,120,,,,,,2018,0,0
TSS-,11114,TSS-,6/27/18,6,B,1,1,1,55,115,,,,,E,2018,0,0
TSS-,11114,TSS-,6/27/18,6,B,2,2,1,55,115,,,,,E,2018,0,0
TSS-,11114,TSS-,6/27/18,6,B,3,3,1,55,115,,,,,E,2018,0,0
TSS-,11114,TSS-,6/27/18,6,B,4,4,1,55,115,,,,,E,2018,0,0
TSS-,11114,TSS-,6/27/18,6,B,6,6,1,55,115,,,,,E,2018,0,0
TSS-,11114,TSS-,6/27/18,6,B,7,7,1,55,115,,,,,E,2018,0,0
TSS-,11114,TSS-,6/27/18,6,B,8,8,1,55,115,,,,,E,2018,0,0
TSS-,11114,TSS-,6/27/18,6,B,9,9,1,55,115,,,,,E,2018,0,0
TSS-,11114,TSS-,6/27/18,6,B,10,10,1,55,115,,,,,E,2018,0,0
TSS-,11114,TSS-,6/27/18,6,B,11,11,1,55,115,,,,,E,2018,0,0
TSS-,11114,TSS-,7/3/18,7,A,1,1,1,55,115,,,,,,2018,0,0
TSS-,11114,TSS-,7/3/18,7,A,2,2,1,55,115,,,,,,2018,0,0
TSS-,11114,TSS-,7/3/18,7,A,3,3,1,55,115,,,,,,2018,0,0
TSS-,11114,TSS-,7/3/18,7,A,4,4,1,55,115,,,,,,2018,0,0
TSS-,11114,TSS-,7/3/18,7,A,6,6,1,55,115,,,,,,2018,0,0
TSS-,11114,TSS-,7/3/18,7,A,7,7,1,55,115,,,,,,2018,0,0
TSS-,11114,TSS-,7/3/18,7,A,8,8,1,55,115,,,,,,2018,0,0
TSS-,11114,TSS-,7/3/18,7,A,9,9,1,55,115,,,,,,2018,0,0
TSS-,11114,TSS-,7/3/18,7,A,10,10,1,55,115,,,,,,2018,0,0
TSS-,11114,TSS-,7/3/18,7,A,11,11,1,55,115,,,,,,2018,0,0
TSS-,11114,TSS-,7/11/18,8,A,1,1,1,55,115,,,,,,2018,0,0
TSS-,11114,TSS-,7/11/18,8,A,2,2,1,55,115,,,,,,2018,0,0
TSS-,11114,TSS-,7/11/18,8,A,3,3,1,55,115,,,,,,2018,0,0
TSS-,11114,TSS-,7/11/18,8,A,4,4,1,55,115,,,,,,2018,0,0
TSS-,11114,TSS-,7/11/18,8,A,6,6,1,55,115,,,,,,2018,0,0
TSS-,11114,TSS-,7/11/18,8,A,7,7,1,55,115,,,,,,2018,0,0
TSS-,11114,TSS-,7/11/18,8,A,8,8,1,55,115,,,,,,2018,0,0
