SPEC,Species_name,HWI,Body_mass_log,AnnualPrecip
TUTI,Baeolophus bicolor,15.59651598,1.334453751,1120.828761
NOCA,Cardinalis cardinalis,15.27537134,1.629817196,889.0939079
SWTH,Catharus ustulatus,31.65355361,1.481442629,701.3686949
AUWA,Dendroica coronata,26.17043617,1.077004327,642.3962297
AMRO,Turdus migratorius,30.81546118,1.894869657,4.160556142
YEWA,Dendroica petechia,27.48121186,1.009450896,800.4050615
GRCA,Dumetella carolinensis,18.65310132,1.547774705,811.663117
COYE,Geothlypis trichas,16.06630498,0.979548375,785.5204079
WOTH,Hylocichla mustelina,26.83527058,1.699751032,1066.2692
ORJU,Junco hyemalis,22.12436869,1.290034611,672.8046487
LISP,Melospiza lincolnii,22.32394026,1.220108088,702.3203207
SOSP,Melospiza melodia,20.63416854,1.340642378,749.6277209
MGWA,Oporornis tolmiei,22.93424273,1.017033339,723.6498568
DOWO,Picoides pubescens,28.17223792,1.407390904,777.9590834
BCCH,Poecile atricapillus,19.60140947,1.033423755,706.7535141
OVEN,Seiurus aurocapilla,24.59156882,1.274157849,816.1328873
BEWR,Thryomanes bewickii,13.76655823,0.995635195,649.101717
CARW,Thryothorus ludovicianus,11.40086673,1.277838333,1115.769751
HOWR,Troglodytes aedon,13.69709037,1.035429738,1338.519424
WIWA,Wilsonia pusilla,20.26680325,0.84260924,694.5020154
