"","SPEC","Parameter","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"1","AMRO","Intercept",0.0025,0.1463,-0.2866,0.2925,1,11794,11262
"2","AMRO","scaletempanom_DW_tstat",-0.487,0.1589,-0.8005,-0.1703,1.0002,9550,10587
"3","AMRO","scaleprcp_DW_total_tstat",0.0561,0.1781,-0.2919,0.4039,1.0003,10108,10385
"4","AMRO","scaleprcp_DW_cov_tstat",0.1321,0.1775,-0.2157,0.4784,1.0001,10492,10411
"5","AMRO","scalelight_tstat",0.1545,0.1577,-0.1626,0.4608,1.0004,10664,10079
"6","AMRO","sigma",1.0962,0.1111,0.9073,1.3391,1.0005,10230,10208
"7","AUWA","Intercept",-0.1197,0.2619,-0.6345,0.3938,1.0003,11109,10534
"8","AUWA","scaletempanom_DW_tstat",0.1674,0.2816,-0.3911,0.7214,1.0008,9875,9783
"9","AUWA","scaleprcp_DW_total_tstat",0.09,0.286,-0.4725,0.6564,1.0004,10832,10456
"10","AUWA","scaleprcp_DW_cov_tstat",0.3375,0.3128,-0.281,0.9609,0.9998,9916,9883
"11","AUWA","scalelight_tstat",-0.6,0.2832,-1.158,-0.0339,1.0002,10399,10535
"12","AUWA","sigma",1.4145,0.2132,1.0706,1.8947,1.0004,9700,9624
"13","BCCH","Intercept",0.3488,0.1566,0.0408,0.6576,1.0001,11498,9702
"14","BCCH","scaletempanom_DW_tstat",0.1864,0.169,-0.1505,0.5137,1.0001,10528,10810
"15","BCCH","scaleprcp_DW_total_tstat",0.2765,0.2143,-0.142,0.694,1.0002,9518,10647
"16","BCCH","scaleprcp_DW_cov_tstat",0.2248,0.2183,-0.1987,0.6569,1,9036,10292
"17","BCCH","scalelight_tstat",0.2447,0.1748,-0.0938,0.5921,1.0005,9997,10519
"18","BCCH","sigma",1.1488,0.1172,0.9443,1.4046,1.0005,11221,10698
"19","BEWR","Intercept",-0.3292,0.258,-0.8457,0.1796,1,11041,10265
"20","BEWR","scaletempanom_DW_tstat",-0.1907,0.2861,-0.7536,0.3782,0.9999,11397,10705
"21","BEWR","scaleprcp_DW_total_tstat",0.1456,0.2626,-0.3717,0.6669,1,10883,10319
"22","BEWR","scaleprcp_DW_cov_tstat",0.4061,0.2792,-0.1469,0.9652,1.0002,10873,10024
"23","BEWR","scalelight_tstat",-0.3333,0.2865,-0.9093,0.2336,1.0003,10927,10630
"24","BEWR","sigma",1.4014,0.2114,1.0619,1.8855,1.0006,10262,9930
