"","SPEC","Parameter","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"1","AMRO","Intercept",0.0011,0.1591,-0.3175,0.3137,1.0001,11584,11017
"2","AMRO","scaletempanom_LW_tstat",-0.1774,0.1634,-0.4951,0.1408,1.0002,10342,10621
"3","AMRO","scaleprcp_LW_total_tstat",0.0774,0.2005,-0.3165,0.4759,1.0005,9803,10457
"4","AMRO","scaleprcp_LW_cov_tstat",0.229,0.2036,-0.1783,0.6191,1.0001,9453,10572
"5","AMRO","scalelight_tstat",0.2542,0.1654,-0.0714,0.5812,1.0001,10691,10355
"6","AMRO","sigma",1.1774,0.1187,0.975,1.4429,1.0002,10862,10259
"7","AUWA","Intercept",-0.1225,0.2411,-0.5924,0.3541,1.0003,11423,10467
"8","AUWA","scaletempanom_LW_tstat",-0.5701,0.3172,-1.1971,0.0601,1.0005,10198,10298
"9","AUWA","scaleprcp_LW_total_tstat",-0.7186,0.35,-1.3987,-0.0281,1.0003,9803,9772
"10","AUWA","scaleprcp_LW_cov_tstat",-0.2698,0.3152,-0.894,0.3522,1.0001,10715,10273
"11","AUWA","scalelight_tstat",-0.4778,0.2627,-0.9987,0.0481,1,11136,10086
"12","AUWA","sigma",1.325,0.1985,1.0046,1.7879,1.0003,10272,10531
"13","BCCH","Intercept",0.349,0.1576,0.0393,0.6575,1.0002,11658,10391
"14","BCCH","scaletempanom_LW_tstat",-0.2221,0.1672,-0.5537,0.1067,0.9999,10767,10142
"15","BCCH","scaleprcp_LW_total_tstat",0.2252,0.2207,-0.2093,0.6664,1.0004,10151,10268
"16","BCCH","scaleprcp_LW_cov_tstat",0.2629,0.223,-0.1739,0.6999,1.0002,9836,10357
"17","BCCH","scalelight_tstat",0.2116,0.1661,-0.119,0.5344,1,11410,10782
"18","BCCH","sigma",1.1468,0.1175,0.9419,1.4036,1,11300,9701
"19","BEWR","Intercept",-0.3296,0.2573,-0.8366,0.179,1.0002,11274,10565
"20","BEWR","scaletempanom_LW_tstat",-0.0328,0.266,-0.5528,0.4902,1,10754,10384
"21","BEWR","scaleprcp_LW_total_tstat",-0.4788,0.3584,-1.1816,0.226,1.0006,9665,9417
"22","BEWR","scaleprcp_LW_cov_tstat",0.0041,0.347,-0.6741,0.6847,1.0004,9651,9353
"23","BEWR","scalelight_tstat",-0.2454,0.2674,-0.7838,0.2781,1,10848,10601
"24","BEWR","sigma",1.3972,0.2093,1.0583,1.8833,1.0003,9525,9909
"25","CARW","Intercept",-0.2853,0.1856,-0.6498,0.0811,1.0001,11406,10901
"26","CARW","scaletempanom_LW_tstat",-0.306,0.1943,-0.6873,0.0764,1.0003,10802,10457
"27","CARW","scaleprcp_LW_total_tstat",0.418,0.2469,-0.0641,0.9118,1.0001,10259,9552
"28","CARW","scaleprcp_LW_cov_tstat",0.3007,0.2392,-0.1776,0.7644,1.0003,10078,10421
"29","CARW","scalelight_tstat",-0.2622,0.1943,-0.6429,0.1262,1.0002,10366,9204
"30","CARW","sigma",1.2625,0.1455,1.0157,1.5843,1.0005,10805,10298
"31","COYE","Intercept",0.3129,0.1836,-0.0561,0.6727,1.0002,11569,10687
"32","COYE","scaletempanom_LW_tstat",-0.2988,0.1888,-0.6719,0.0693,1,11621,10271
"33","COYE","scaleprcp_LW_total_tstat",-0.5705,0.2044,-0.9697,-0.1642,1.0003,10969,10520
"34","COYE","scaleprcp_LW_cov_tstat",-0.0816,0.2088,-0.4946,0.3301,1.0001,10200,10173
"35","COYE","scalelight_tstat",-0.0024,0.1871,-0.3703,0.3648,1.0001,11224,10628
"36","COYE","sigma",1.3653,0.1386,1.1273,1.6674,1,11059,11166
"37","DOWO","Intercept",-0.1508,0.1868,-0.5192,0.2171,0.9999,11269,9873
"38","DOWO","scaletempanom_LW_tstat",-0.3928,0.1984,-0.7816,0.001,0.9999,11363,10422
"39","DOWO","scaleprcp_LW_total_tstat",-0.4835,0.248,-0.969,0.0083,1.0004,10595,10231
"40","DOWO","scaleprcp_LW_cov_tstat",-0.33,0.2431,-0.8173,0.1479,1.0002,10816,10800
"41","DOWO","scalelight_tstat",0.4184,0.1903,0.0391,0.7962,1,10766,9904
"42","DOWO","sigma",1.3603,0.1419,1.1179,1.6751,1,10512,10027
"43","GRCA","Intercept",-0.1825,0.1964,-0.5712,0.2034,1.0004,11573,10627
"44","GRCA","scaletempanom_LW_tstat",-0.1332,0.2111,-0.5398,0.2818,1.0007,10778,10422
